id,name,name_vn,level,exp_required,breakthrough_risk,failure_skip_months,breakthrough_item,description
mortal,Mortal,Phàm Nhân,0,0,0.0,0,,"Thân phàm chưa khai linh. Trước linh thú hay tu sĩ thật sự — không khác gì kiến."
qi_refining_1,Qi Refining Early,Luyện Khí Sơ Kỳ,1,80,0.0,0,,"Linh khí lần đầu lưu thông trong kinh mạch. Cơ thể còn lạ lẫm với linh lực như khai mương qua đất đá."
qi_refining_2,Qi Refining Mid,Luyện Khí Trung Kỳ,2,300,0.0,0,,"Kinh mạch dần thông suốt. Bước ra ngoài tu tiên giới đã không còn là phàm nhân."
qi_refining_3,Qi Refining Late,Luyện Khí Hậu Kỳ,3,800,0.0,0,,"Luyện Khí đạt cực hạn. Linh khí trong thân đặc như sương — một bước nữa là Trúc Cơ."
foundation_1,Foundation Early,Trúc Cơ Sơ Kỳ,4,2000,0.05,1,qi_pill_major,"Nền tảng tu luyện được kiến lập. Sức mạnh tăng vọt so với Luyện Khí — như núi so với đất bằng."
foundation_2,Foundation Mid,Trúc Cơ Trung Kỳ,5,5500,0.07,2,,"Căn cơ vững chắc. Đây là cảnh giới phần lớn tu sĩ bình thường dừng lại — không phải vì không cố mà vì không đủ duyên."
foundation_3,Foundation Late,Kim Đan Sơ Kỳ,6,13000,0.10,3,,"Kim đan manh nha trong đan điền như tia sáng le lói. Đột phá vào Kim Đan là bước ngoặt sinh tử."
core_formation_1,Core Formation Early,Kim Đan Sơ Kỳ,7,30000,0.15,4,spirit_tonic,"Kim đan ngưng tụ thành công. Tu sĩ Kim Đan nhìn Trúc Cơ như người lớn nhìn trẻ con."
core_formation_2,Core Formation Mid,Kim Đan Trung Kỳ,8,70000,0.18,5,,"Kim đan đặc cứng và thuần khiết. Thần thức bắt đầu mở rộng ra ngoài thân thể."
core_formation_3,Core Formation Late,Kim Đan Hậu Kỳ,9,160000,0.22,7,,"Kim đan rực sáng như mặt trời thu nhỏ. Nguyên anh đang hình thành bên trong."
nascent_soul_1,Nascent Soul Early,Nguyên Anh Sơ Kỳ,10,350000,0.27,9,phoenix_feather,"Nguyên anh xuất khiếu. Có thể thoát xác ngắn hạn. Kẻ đạt đây được coi là cường giả thực sự."
nascent_soul_2,Nascent Soul Mid,Nguyên Anh Trung Kỳ,11,800000,0.30,12,"Nguyên anh lớn mạnh và ổn định. Thoát xác có thể di chuyển xa hàng dặm."
nascent_soul_3,Nascent Soul Late,Nguyên Anh Hậu Kỳ,12,1800000,0.33,15,"Nguyên anh đỉnh tầng. Thiên hạ có bao nhiêu kẻ đạt được đây? Đếm trên đầu ngón tay mỗi thế kỷ."
deity_transform_1,Deity Transformation Early,Hóa Thần Sơ Kỳ,13,4000000,0.38,20,soul_mending,"Thần thức bắt đầu hòa nhập thiên địa. Cảm nhận linh khí thiên địa như thở không khí."
deity_transform_2,Deity Transformation Mid,Hóa Thần Trung Kỳ,14,9000000,0.42,28,"Thần thức trải rộng trăm dặm. Mỗi đòn đánh mang theo ý niệm thiên địa — như thiên tai nhỏ."
deity_transform_3,Deity Transformation Late,Hóa Thần Hậu Kỳ,15,20000000,0.46,36,"Hóa Thần cực hạn. Bầu trời dường như nhận ra sự tồn tại của tu sĩ này."
void_refinement_1,Void Refinement Early,Luyện Hư Sơ Kỳ,16,50000000,0.50,42,"Thần thức bắt đầu tiếp xúc với hư không. Ranh giới giữa ta và thế giới trở nên mờ nhạt."
void_refinement_2,Void Refinement Mid,Luyện Hư Trung Kỳ,17,120000000,0.53,50,"Có thể dùng hư không như vũ khí — gấp không gian, tạo bẫy vô hình. Kẻ yếu hơn không nhìn thấy đòn đánh."
void_refinement_3,Void Refinement Late,Luyện Hư Hậu Kỳ,18,280000000,0.56,60,"Luyện Hư cực hạn. Thân thể có thể tồn tại trong hư không trong thời gian ngắn."
body_integration_1,Body Integration Early,Hợp Thể Sơ Kỳ,19,650000000,0.60,72,"Thần thức và thể xác bắt đầu hợp nhất với thiên địa. Không còn ranh giới rõ ràng giữa trong và ngoài thân."
body_integration_2,Body Integration Mid,Hợp Thể Trung Kỳ,20,1500000000,0.63,84,"Hợp nhất sâu hơn — thiên địa linh khí tự nguyện nhập vào thân mà không cần vận công."
body_integration_3,Body Integration Late,Hợp Thể Hậu Kỳ,21,3500000000,0.66,96,"Hợp Thể cực hạn. Tu sĩ trở thành một phần của thiên địa — núi sông chấn động khi họ thiền định."
tribulation_1,Tribulation Early,Độ Kiếp Sơ Kỳ,22,8000000000,0.70,120,"Thiên kiếp đầu giáng xuống. Sấm sét thiên địa thử thách ý chí — kẻ sợ hãi sẽ chết, kẻ đón nhận sẽ mạnh hơn."
tribulation_2,Tribulation Mid,Độ Kiếp Trung Kỳ,23,18000000000,0.73,144,"Thiên kiếp thứ hai dữ dội hơn. Không gian xung quanh bị méo mó — kẻ ở gần có thể bị cuốn vào thiên kiếp."
tribulation_3,Tribulation Late,Độ Kiếp Hậu Kỳ,24,40000000000,0.76,180,"Thiên kiếp cuối — bầu trời mở ra như muốn nuốt chửng tu sĩ. Vượt qua đây là bước vào cảnh giới thực sự siêu phàm."
great_ascension_1,Great Ascension Early,Đại Thừa Sơ Kỳ,25,100000000000,0.80,240,chaos_bead,"Đại Thừa — cảnh giới của những kẻ đứng trên đỉnh thế giới phàm. Mỗi hơi thở là ý niệm thiên địa."
great_ascension_2,Great Ascension Mid,Đại Thừa Trung Kỳ,26,250000000000,0.83,300,"Thiên địa cúi đầu. Tu sĩ Đại Thừa Trung Kỳ có thể nhìn thấy vận mệnh của kẻ thường — mờ nhạt như sương."
great_ascension_3,Great Ascension Late,Đại Thừa Hậu Kỳ,27,600000000000,0.86,360,"Đại Thừa cực hạn. Còn một bước nữa là vượt ra khỏi thế giới phàm hoàn toàn. Cả thiên hạ cảm nhận được khi tu sĩ này hành động."
true_immortal,True Immortal,Chân Tiên,28,1500000000000,0.92,9999,"Đã vượt khỏi giới hạn phàm giới và thiên đạo hạ giới. Không còn phân chia tiểu cảnh giới vì bản thân Chân Tiên đã là sinh mệnh hoàn mỹ gần như vĩnh hằng. Một ý niệm có thể dời non lấp biển, búng tay xoá diệt tông môn, ánh mắt xuyên qua nhân quả và thời không. Với phàm tu bên dưới — Chân Tiên không khác gì tồn tại trong truyền thuyết."
